DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP
ANDES CSD,0.06,0.0,1.02
DOWNSVILLE CSD,0.18,0.33,0.14785714285714288
CHARLOTTE VALLEY CSD,0.19,0.24,0.13545454545454547
DELAWARE ACADEMY CSD AT DELHI,0.19,0.15,0.19518518518518516
FRANKLIN CSD,0.36,0.33,0.3704347826086956
HANCOCK CSD,0.15,0.75,0.07727272727272727
MARGARETVILLE CSD,0.05,0.14,0.035
ROXBURY CSD,0.14,0.33,0.11466666666666668
SIDNEY CSD,0.21,0.5,0.11333333333333334
STAMFORD CSD,0.14,0.17,0.13590909090909092
SOUTH KORTRIGHT CSD,0.15,0.2,0.14393939393939395
WALTON CSD,0.09,0.21,0.06442622950819672
BEACON CITY SD,0.09,0.28,0.06943722943722944
DOVER UFSD,0.23,0.35,0.22181818181818186
HYDE PARK CSD,0.08,0.18,0.07135338345864661
NORTHEAST CSD,0.19,0.14,0.2018181818181818
PAWLING CSD,0.1,0.31,0.059518072289156634
PINE PLAINS CSD,0.03,0.12,0.014249999999999999
POUGHKEEPSIE CITY SD,0.11,0.18,0.10160000000000002
ARLINGTON CSD,0.08,0.26,0.06480891719745223
SPACKENKILL UFSD,0.07,0.22,0.061489361702127675
RED HOOK CSD,0.12,0.26,0.09904761904761902
RHINEBECK CSD,0.13,0.36,0.08129411764705884
WAPPINGERS CSD,0.07,0.01,0.076156202143951
MILLBROOK CSD,0.08,0.0,0.08682926829268293
ALDEN CSD,0.04,0.0,0.04535714285714286
AMHERST CSD,0.1,0.33,0.0693991416309013
WILLIAMSVILLE CSD,0.1,0.29,0.07750000000000001
SWEET HOME CSD,0.13,0.18,0.11779527559055117
EAST AURORA UFSD,0.11,0.22,0.08545454545454545
BUFFALO CITY SD,0.09,0.2,0.0801566852367688
CHEEKTOWAGA CSD,0.09,0.33,0.0638181818181818
CHEEKTOWAGA-MARYVALE UFSD,0.06,0.18,0.045
CLEVELAND HILL UFSD,0.11,0.2,0.0947457627118644
DEPEW UFSD,0.04,0.25,0.0274
CHEEKTOWAGA-SLOAN UFSD,0.1,0.19,0.08673684210526315
CLARENCE CSD,0.08,0.19,0.06479099678456592
SPRINGVILLE-GRIFFITH INST CSD,0.03,0.0,0.03071428571428571
EDEN CSD,0.04,0.05,0.03851851851851852
IROQUOIS CSD,0.13,0.36,0.09876543209876543
EVANS-BRANT CSD (LAKE SHORE),0.07,0.17,0.05857142857142858
GRAND ISLAND CSD,0.06,0.3,0.03749999999999999
HAMBURG CSD,0.11,0.33,0.09339622641509433
HOPEVALE UFSD AT HAMBURG,,,
FRONTIER CSD,0.11,0.29,0.08049180327868852
HOLLAND CSD,0.2,0.4,0.13333333333333333
LACKAWANNA CITY SD,0.1,0.36,0.04545454545454547
LANCASTER CSD,0.05,0.08,0.04798507462686568
AKRON CSD,0.17,0.44,0.13454545454545458
NORTH COLLINS CSD,0.22,0.64,0.17058823529411768
ORCHARD PARK CSD,0.12,0.27,0.09337278106508874
TONAWANDA CITY SD,0.12,0.29,0.08653543307086613
KENMORE-TONAWANDA UFSD,0.09,0.31,0.0641396933560477
WEST SENECA CSD,0.09,0.38,0.05447661469933185
CROWN POINT CSD,0.3,0.33,0.29823529411764704
KEENE CSD,0.14,0.0,0.15473684210526317
MINERVA CSD,0.18,0.25,0.173
MORIAH CSD,0.1,0.25,0.08125
NEWCOMB CSD,0.06,0.0,0.06666666666666667
LAKE PLACID CSD,0.12,0.3,0.08507462686567163
SCHROON LAKE CSD,0.03,0.0,0.03724137931034483
TICONDEROGA CSD,0.12,0.0,0.12827586206896552
WILLSBORO CSD,0.26,0.5,0.20947368421052634
BOQUET VALLEY CSD,0.23,0.3,0.19500000000000003
TUPPER LAKE CSD,0.14,0.0,0.16896551724137931
CHATEAUGAY CSD,0.16,0.22,0.14325581395348838
SALMON RIVER CSD,0.13,0.17,0.11837606837606836
SARANAC LAKE CSD,0.17,0.33,0.14075268817204306
MALONE CSD,0.09,0.16,0.07759999999999999
BRUSHTON-MOIRA CSD,0.07,0.33,0.045405405405405413
ST REGIS FALLS CSD,0.27,0.33,0.21666666666666665
WHEELERVILLE UFSD,0.15,0.0,0.18
GLOVERSVILLE CITY SD,0.1,0.19,0.08246153846153847
JOHNSTOWN CITY SD,0.16,0.14,0.16363636363636364
MAYFIELD CSD,0.14,0.44,0.07538461538461538
NORTHVILLE CSD,0.11,0.33,0.08499999999999998
BROADALBIN-PERTH CSD,0.05,0.05,0.049999999999999996
ALEXANDER CSD,0.1,0.3,0.05692307692307692
BATAVIA CITY SD,0.14,0.26,0.11978947368421053
BYRON-BERGEN CSD,0.12,0.27,0.09884615384615383
ELBA CSD,0.12,0.33,0.06866666666666665
LE ROY CSD,0.04,0.0,0.045306122448979594
OAKFIELD-ALABAMA CSD,0.08,0.13,0.07295774647887325
PAVILION CSD,0.17,0.32,0.11836065573770495
PEMBROKE CSD,0.09,0.23,0.08076923076923077
CAIRO-DURHAM CSD,0.13,0.38,0.10899159663865546
CATSKILL CSD,0.11,0.25,0.08277777777777777
COXSACKIE-ATHENS CSD,0.08,0.67,0.008317757009345783
GREENVILLE CSD,0.14,0.17,0.13804347826086957
HUNTER-TANNERSVILLE CSD,0.17,0.33,0.10212121212121213
WINDHAM-ASHLAND-JEWETT CSD,0.0,0.0,0.0
PISECO COMN SD,,,
INDIAN LAKE CSD,0.19,1.0,0.1531818181818182
INLET COMN SD,,,
LAKE PLEASANT CSD,0.12,0.33,0.075
LONG LAKE CSD,0.06,0.1,0.04285714285714285
RAQUETTE LAKE UFSD,,,
WELLS CSD,0.14,0.5,0.12363636363636364
WEST CANADA VALLEY CSD,0.18,0.41,0.10489795918367346
FRANKFORT-SCHUYLER CSD,0.13,0.2,0.12805555555555556
HERKIMER CSD,0.06,0.13,0.03338028169014084
LITTLE FALLS CITY SD,0.14,0.28,0.11166666666666665
DOLGEVILLE CSD,0.16,0.3,0.13152542372881357
POLAND CSD,0.14,0.17,0.13341463414634147
VAN HORNESVILLE-OWEN D YOUNG CSD,0.1,0.13,0.08875000000000001
TOWN OF WEBB UFSD,0.15,0.13,0.15230769230769228
MOUNT MARKHAM CSD,0.09,0.07,0.09214285714285714
CENTRAL VALLEY CSD AT ILION-MOHAWK,0.1,0.33,0.058181818181818196
SOUTH JEFFERSON CSD,0.04,0.0,0.047706422018348627
ALEXANDRIA CSD,0.26,0.42,0.17500000000000002
INDIAN RIVER CSD,0.13,0.11,0.13451612903225807
GENERAL BROWN CSD,0.2,0.29,0.1775
THOUSAND ISLANDS CSD,0.18,0.4,0.1490625
BELLEVILLE-HENDERSON CSD,0.08,0.4,-0.011428571428571427
SACKETS HARBOR CSD,0.08,0.2,0.05257142857142857
LYME CSD,0.23,0.5,0.11954545454545454
LA FARGEVILLE CSD,0.12,0.2,0.10486486486486483
WATERTOWN CITY SD,0.11,0.2,0.08633620689655169
CARTHAGE CSD,0.13,0.29,0.10344680851063832
COPENHAGEN CSD,0.28,0.5,0.17647058823529416
HARRISVILLE CSD,0.15,0.38,0.10071428571428569
LOWVILLE ACADEMY & CSD,0.21,0.27,0.19851063829787235
SOUTH LEWIS CSD,0.03,0.5,0.03
BEAVER RIVER CSD,0.18,0.36,0.15789473684210525
AVON CSD,0.09,0.14,0.0847674418604651
CALEDONIA-MUMFORD CSD,0.11,0.18,0.09333333333333335
GENESEO CSD,0.16,0.31,0.14148148148148149
LIVONIA CSD,0.07,0.0,0.07408333333333333
MT MORRIS CSD,0.05,0.0,0.063
DANSVILLE CSD,0.08,0.13,0.07273504273504275
DALTON-NUNDA CSD (KESHEQUA),0.13,0.36,0.07844827586206898
YORK CSD,0.09,0.27,0.04826086956521738
BROOKFIELD CSD,0.04,0.0,0.05473684210526316
CAZENOVIA CSD,0.16,0.26,0.14045977011494254
DERUYTER CSD,0.23,0.5,0.20365853658536584
MORRISVILLE-EATON CSD,0.13,0.2,0.11811320754716982
HAMILTON CSD,0.14,0.06,0.17111111111111113
CANASTOTA CSD,0.13,0.25,0.09651162790697675
MADISON CSD,0.23,0.5,0.1682857142857143
ONEIDA CITY SD,0.12,0.24,0.10827067669172931
STOCKBRIDGE VALLEY CSD,0.21,0.35,0.15750000000000003
CHITTENANGO CSD,0.11,0.18,0.10582781456953644
BRIGHTON CSD,0.1,0.1,0.1
GATES CHILI CSD,0.12,0.13,0.11901060070671378
GREECE CSD,0.07,0.13,0.06341836734693879
EAST IRONDEQUOIT CSD,0.17,0.25,0.15345991561181435
