DISTRICT,YEAR,PER_TURN_ALL,PER_TURN_INEXP,NUM_TEACH,NUM_TEACH_INEXP,PER_TEACH_INEXP,NUM_TEACH_EXP,PER_TEACH_EXP,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_FRPL,K12,ATTENDANCE_RATE,PER_ELL,PER_BLACK,PER_HISP,PER_ASIAN,PER_WHITE,PER_SWD,PER_STATE_LOCAL_EXP,PER_FED_STATE_LOCAL_EXP,NUM_TOT_TURN,NUM_INEXP_TURN,NUM_EXP_TURN,PER_TURN_EXP
NORTHERN ADIRONDACK CSD,2022,0.1,0.4,80.0,8.0,10.0,72.0,90.0,43.0,3.0,46.0,794.0,94.0,0.0,1.0,1.0,0.0,97.0,21.0,26853.0,28399.0,8.0,3.2,4.8,0.06666666666666667
PERU CSD,2022,0.12,0.41,172.0,20.0,12.0,152.0,88.37209302325581,42.0,0.0,42.0,1766.0,89.0,0.0,1.0,1.0,1.0,93.0,21.0,22016.0,23343.0,20.64,8.2,12.440000000000001,0.0818421052631579
PLATTSBURGH CITY SD,2022,0.11,0.23,185.0,30.0,16.0,155.0,83.78378378378379,45.0,1.0,46.0,1719.0,89.0,1.0,7.0,2.0,3.0,86.0,20.0,22435.0,23966.0,20.35,6.9,13.450000000000001,0.0867741935483871
SARANAC CSD,2022,0.1,0.1,132.0,21.0,16.0,111.0,84.0909090909091,33.0,2.0,35.0,1451.0,92.0,0.0,0.0,1.0,0.0,96.0,15.0,19589.0,21299.0,13.200000000000001,2.1,11.100000000000001,0.10000000000000002
BERKSHIRE UFSD,2022,,,,,,,,,,,,,,,,,,,,,,,,
TACONIC HILLS CSD,2022,0.16,0.47,121.0,15.0,12.0,106.0,87.60330578512396,53.0,0.0,53.0,1086.0,90.0,3.0,2.0,13.0,1.0,78.0,11.0,26952.0,28779.0,19.36,7.05,12.309999999999999,0.1161320754716981
GERMANTOWN CSD,2022,0.06,0.13,53.0,5.0,9.0,48.0,90.56603773584906,33.0,2.0,35.0,466.0,91.0,2.0,1.0,8.0,1.0,86.0,19.0,,,3.1799999999999997,0.65,2.53,0.05270833333333333
CHATHAM CSD,2022,0.21,0.46,100.0,12.0,12.0,88.0,88.0,33.0,3.0,36.0,878.0,92.0,1.0,1.0,7.0,1.0,88.0,18.0,27361.0,28435.0,21.0,5.5200000000000005,15.48,0.1759090909090909
HUDSON CITY SD,2022,0.17,0.31,148.0,12.0,8.0,136.0,91.8918918918919,69.0,0.0,69.0,1554.0,89.0,10.0,17.0,18.0,11.0,41.0,16.0,24621.0,27558.0,25.16,3.7199999999999998,21.44,0.15764705882352942
KINDERHOOK CSD,2022,0.11,0.22,162.0,24.0,15.0,138.0,85.18518518518519,33.0,3.0,36.0,1661.0,93.0,5.0,2.0,12.0,1.0,81.0,14.0,22295.0,23651.0,17.82,5.28,12.54,0.0908695652173913
NEW LEBANON CSD,2022,0.09,0.2,51.0,10.0,20.0,41.0,80.3921568627451,41.0,5.0,46.0,388.0,91.0,1.0,1.0,2.0,2.0,91.0,17.0,27496.0,27496.0,4.59,2.0,2.59,0.06317073170731707
CINCINNATUS CSD,2022,0.1,0.18,58.0,6.0,10.0,52.0,89.65517241379311,39.0,5.0,44.0,475.0,91.0,0.0,0.0,1.0,0.0,98.0,17.0,23168.0,26346.0,5.800000000000001,1.08,4.720000000000001,0.09076923076923078
CORTLAND CITY SD,2022,0.27,0.41,175.0,21.0,12.0,154.0,88.0,64.0,0.0,64.0,1925.0,89.0,1.0,3.0,4.0,1.0,85.0,16.0,18020.0,20757.0,47.25,8.61,38.64,0.2509090909090909
MCGRAW CSD,2022,0.17,0.0,59.0,18.0,31.0,41.0,69.49152542372882,40.0,0.0,40.0,490.0,91.0,0.0,0.0,1.0,0.0,96.0,23.0,19423.0,21483.0,10.030000000000001,0.0,10.030000000000001,0.24463414634146344
HOMER CSD,2022,0.05,0.09,179.0,5.0,3.0,174.0,97.20670391061452,38.0,4.0,42.0,1805.0,92.0,1.0,0.0,4.0,1.0,92.0,11.0,17129.0,19886.0,8.950000000000001,0.44999999999999996,8.500000000000002,0.04885057471264369
MARATHON CSD,2022,0.1,0.2,76.0,8.0,11.0,68.0,89.47368421052632,48.0,1.0,49.0,683.0,92.0,1.0,1.0,1.0,0.0,97.0,14.0,19853.0,22636.0,7.6000000000000005,1.6,6.0,0.08823529411764706
ANDES CSD,2022,0.06,0.0,17.0,16.0,94.0,1.0,5.88235294117647,36.0,0.0,36.0,56.0,83.0,0.0,2.0,2.0,0.0,96.0,27.0,,,1.02,0.0,1.02,1.02
DOWNSVILLE CSD,2022,0.18,0.33,34.0,6.0,18.0,28.0,82.35294117647058,42.0,2.0,44.0,209.0,93.0,0.0,3.0,3.0,1.0,92.0,20.0,37075.0,38984.0,6.12,1.98,4.140000000000001,0.14785714285714288
CHARLOTTE VALLEY CSD,2022,0.19,0.24,46.0,24.0,52.0,22.0,47.82608695652174,54.0,1.0,55.0,369.0,94.0,0.0,1.0,4.0,0.0,93.0,18.0,21600.0,24387.0,8.74,5.76,2.9800000000000004,0.13545454545454547
DELAWARE ACADEMY CSD AT DELHI,2022,0.19,0.15,61.0,7.0,11.0,54.0,88.52459016393442,25.0,2.0,27.0,691.0,93.0,0.0,1.0,2.0,1.0,94.0,14.0,21608.0,22312.0,11.59,1.05,10.54,0.19518518518518516
FRANKLIN CSD,2022,0.36,0.33,31.0,8.0,26.0,23.0,74.19354838709677,42.0,0.0,42.0,214.0,91.0,0.0,3.0,3.0,0.0,92.0,17.0,27641.0,30430.0,11.16,2.64,8.52,0.3704347826086956
HANCOCK CSD,2022,0.15,0.75,37.0,4.0,11.0,33.0,89.1891891891892,50.0,0.0,50.0,301.0,90.0,0.0,2.0,5.0,1.0,92.0,11.0,29453.0,30969.0,5.55,3.0,2.55,0.07727272727272727
MARGARETVILLE CSD,2022,0.05,0.14,42.0,6.0,14.0,36.0,85.71428571428571,50.0,1.0,51.0,316.0,91.0,6.0,1.0,26.0,2.0,68.0,23.0,27434.0,30568.0,2.1,0.8400000000000001,1.26,0.035
ROXBURY CSD,2022,0.14,0.33,34.0,4.0,12.0,30.0,88.23529411764706,33.0,0.0,33.0,225.0,94.0,0.0,2.0,3.0,0.0,92.0,16.0,32046.0,37053.0,4.760000000000001,1.32,3.4400000000000004,0.11466666666666668
SIDNEY CSD,2022,0.21,0.5,84.0,21.0,25.0,63.0,75.0,48.0,1.0,49.0,1069.0,90.0,1.0,1.0,5.0,1.0,89.0,14.0,18909.0,20779.0,17.64,10.5,7.140000000000001,0.11333333333333334
STAMFORD CSD,2022,0.14,0.17,25.0,3.0,12.0,22.0,88.0,54.0,8.0,62.0,226.0,91.0,0.0,3.0,8.0,1.0,87.0,15.0,30362.0,33491.0,3.5000000000000004,0.51,2.99,0.13590909090909092
SOUTH KORTRIGHT CSD,2022,0.15,0.2,37.0,4.0,11.0,33.0,89.1891891891892,31.0,1.0,32.0,310.0,92.0,0.0,2.0,1.0,0.0,95.0,12.0,20972.0,23066.0,5.55,0.8,4.75,0.14393939393939395
WALTON CSD,2022,0.09,0.21,74.0,13.0,18.0,61.0,82.43243243243244,47.0,1.0,48.0,818.0,90.0,0.0,1.0,2.0,1.0,96.0,19.0,20958.0,23700.0,6.66,2.73,3.93,0.06442622950819672
BEACON CITY SD,2022,0.09,0.28,256.0,25.0,10.0,231.0,90.234375,36.0,3.0,39.0,2515.0,92.0,1.0,15.0,29.0,3.0,45.0,20.0,22662.0,24324.0,23.04,7.000000000000001,16.04,0.06943722943722944
DOVER UFSD,2022,0.23,0.35,94.0,6.0,6.0,88.0,93.61702127659575,53.0,7.0,60.0,1328.0,92.0,10.0,2.0,37.0,1.0,55.0,14.0,21488.0,23706.0,21.62,2.0999999999999996,19.520000000000003,0.22181818181818186
HYDE PARK CSD,2022,0.08,0.18,289.0,23.0,8.0,266.0,92.04152249134948,44.0,6.0,50.0,3308.0,91.0,4.0,13.0,23.0,2.0,56.0,18.0,24213.0,25464.0,23.12,4.14,18.98,0.07135338345864661
NORTHEAST CSD,2022,0.19,0.14,68.0,13.0,19.0,55.0,80.88235294117648,42.0,5.0,47.0,613.0,89.0,15.0,3.0,25.0,0.0,66.0,22.0,26228.0,29115.0,12.92,1.8200000000000003,11.1,0.2018181818181818
PAWLING CSD,2022,0.1,0.31,99.0,16.0,16.0,83.0,83.83838383838383,29.0,3.0,32.0,1083.0,93.0,9.0,3.0,28.0,2.0,63.0,14.0,27959.0,29089.0,9.9,4.96,4.94,0.059518072289156634
PINE PLAINS CSD,2022,0.03,0.12,94.0,14.0,15.0,80.0,85.1063829787234,33.0,5.0,38.0,821.0,92.0,3.0,0.0,13.0,0.0,79.0,15.0,30222.0,30986.0,2.82,1.68,1.14,0.014249999999999999
POUGHKEEPSIE CITY SD,2022,0.11,0.18,308.0,33.0,11.0,275.0,89.28571428571429,76.0,1.0,77.0,3996.0,85.0,15.0,46.0,39.0,1.0,6.0,20.0,20656.0,23618.0,33.88,5.9399999999999995,27.940000000000005,0.10160000000000002
ARLINGTON CSD,2022,0.08,0.26,681.0,53.0,8.0,628.0,92.2173274596182,26.0,3.0,29.0,7745.0,93.0,3.0,9.0,21.0,3.0,62.0,17.0,22505.0,23694.0,54.480000000000004,13.780000000000001,40.7,0.06480891719745223
SPACKENKILL UFSD,2022,0.07,0.22,149.0,8.0,5.0,141.0,94.63087248322147,20.0,3.0,23.0,1495.0,95.0,3.0,12.0,16.0,11.0,56.0,12.0,28403.0,28923.0,10.430000000000001,1.76,8.670000000000002,0.061489361702127675
RED HOOK CSD,2022,0.12,0.26,169.0,22.0,13.0,147.0,86.98224852071006,20.0,1.0,21.0,1617.0,93.0,3.0,2.0,12.0,2.0,81.0,14.0,27304.0,28179.0,20.279999999999998,5.720000000000001,14.559999999999997,0.09904761904761902
RHINEBECK CSD,2022,0.13,0.36,103.0,18.0,17.0,85.0,82.52427184466019,19.0,1.0,20.0,937.0,93.0,2.0,1.0,11.0,3.0,79.0,12.0,30059.0,31410.0,13.39,6.4799999999999995,6.910000000000001,0.08129411764705884
WAPPINGERS CSD,2022,0.07,0.01,720.0,67.0,9.0,653.0,90.69444444444444,20.0,3.0,23.0,10176.0,91.0,3.0,7.0,21.0,4.0,65.0,16.0,19741.0,21226.0,50.400000000000006,0.67,49.730000000000004,0.076156202143951
MILLBROOK CSD,2022,0.08,0.0,89.0,7.0,8.0,82.0,92.13483146067416,26.0,3.0,29.0,817.0,92.0,3.0,2.0,16.0,1.0,76.0,17.0,25563.0,29214.0,7.12,0.0,7.12,0.08682926829268293
ALDEN CSD,2022,0.04,0.0,127.0,15.0,12.0,112.0,88.18897637795276,20.0,4.0,24.0,1498.0,92.0,0.0,1.0,1.0,1.0,95.0,12.0,16968.0,18270.0,5.08,0.0,5.08,0.04535714285714286
AMHERST CSD,2022,0.1,0.33,264.0,31.0,12.0,233.0,88.25757575757575,31.0,3.0,34.0,2856.0,93.0,5.0,15.0,6.0,9.0,64.0,13.0,17391.0,18874.0,26.400000000000002,10.23,16.17,0.0693991416309013
WILLIAMSVILLE CSD,2022,0.1,0.29,850.0,90.0,11.0,760.0,89.41176470588236,17.0,1.0,18.0,9506.0,93.0,4.0,4.0,4.0,14.0,72.0,13.0,17485.0,18622.0,85.0,26.099999999999998,58.900000000000006,0.07750000000000001
SWEET HOME CSD,2022,0.13,0.18,316.0,62.0,20.0,254.0,80.37974683544303,40.0,0.0,40.0,3334.0,91.0,6.0,20.0,6.0,10.0,60.0,11.0,20240.0,21495.0,41.08,11.16,29.919999999999998,0.11779527559055117
EAST AURORA UFSD,2022,0.11,0.22,148.0,27.0,18.0,121.0,81.75675675675676,10.0,0.0,10.0,1643.0,94.0,0.0,0.0,3.0,0.0,94.0,14.0,17662.0,19069.0,16.28,5.94,10.34,0.08545454545454545
BUFFALO CITY SD,2022,0.09,0.2,3129.0,257.0,8.0,2872.0,91.78651326302332,75.0,0.0,75.0,28508.0,77.0,19.0,43.0,21.0,13.0,18.0,23.0,20730.0,23767.0,281.61,51.400000000000006,230.21,0.0801566852367688
CHEEKTOWAGA CSD,2022,0.09,0.33,183.0,18.0,10.0,165.0,90.1639344262295,58.0,2.0,60.0,2060.0,88.0,8.0,35.0,9.0,13.0,37.0,17.0,15052.0,18427.0,16.47,5.94,10.529999999999998,0.0638181818181818
CHEEKTOWAGA-MARYVALE UFSD,2022,0.06,0.18,180.0,20.0,11.0,160.0,88.88888888888889,40.0,3.0,43.0,2042.0,92.0,10.0,11.0,7.0,8.0,69.0,16.0,15366.0,17243.0,10.799999999999999,3.5999999999999996,7.199999999999999,0.045
CLEVELAND HILL UFSD,2022,0.11,0.2,138.0,20.0,14.0,118.0,85.5072463768116,51.0,5.0,56.0,1274.0,92.0,5.0,33.0,7.0,7.0,44.0,13.0,17995.0,20054.0,15.18,4.0,11.18,0.0947457627118644
DEPEW UFSD,2022,0.04,0.25,159.0,9.0,6.0,150.0,94.33962264150944,40.0,5.0,45.0,1755.0,94.0,1.0,4.0,6.0,2.0,83.0,16.0,18137.0,19194.0,6.36,2.25,4.11,0.0274
CHEEKTOWAGA-SLOAN UFSD,2022,0.1,0.19,109.0,14.0,13.0,95.0,87.1559633027523,50.0,4.0,54.0,1219.0,87.0,2.0,10.0,7.0,5.0,70.0,18.0,18608.0,20493.0,10.9,2.66,8.24,0.08673684210526315
CLARENCE CSD,2022,0.08,0.19,354.0,43.0,12.0,311.0,87.85310734463276,14.0,1.0,15.0,4073.0,93.0,1.0,1.0,4.0,4.0,88.0,13.0,17744.0,18530.0,28.32,8.17,20.15,0.06479099678456592
SPRINGVILLE-GRIFFITH INST CSD,2022,0.03,0.0,129.0,3.0,2.0,126.0,97.67441860465115,33.0,5.0,38.0,1552.0,93.0,0.0,1.0,3.0,1.0,94.0,15.0,18281.0,19998.0,3.8699999999999997,0.0,3.8699999999999997,0.03071428571428571
EDEN CSD,2022,0.04,0.05,124.0,16.0,13.0,108.0,87.09677419354838,19.0,0.0,19.0,1252.0,94.0,0.0,1.0,2.0,0.0,93.0,18.0,18051.0,19650.0,4.96,0.8,4.16,0.03851851851851852
IROQUOIS CSD,2022,0.13,0.36,184.0,22.0,12.0,162.0,88.04347826086956,18.0,1.0,19.0,2039.0,94.0,0.0,0.0,2.0,1.0,95.0,18.0,21338.0,22269.0,23.92,7.92,16.0,0.09876543209876543
EVANS-BRANT CSD (LAKE SHORE),2022,0.07,0.17,195.0,20.0,10.0,175.0,89.74358974358975,47.0,5.0,52.0,2084.0,89.0,0.0,1.0,5.0,0.0,75.0,21.0,21061.0,23269.0,13.650000000000002,3.4000000000000004,10.250000000000002,0.05857142857142858
GRAND ISLAND CSD,2022,0.06,0.3,245.0,21.0,9.0,224.0,91.42857142857143,20.0,3.0,23.0,2799.0,93.0,2.0,2.0,5.0,3.0,85.0,13.0,17762.0,18997.0,14.7,6.3,8.399999999999999,0.03749999999999999
HAMBURG CSD,2022,0.11,0.33,285.0,20.0,7.0,265.0,92.98245614035088,18.0,2.0,20.0,3174.0,93.0,0.0,1.0,3.0,1.0,92.0,17.0,18466.0,19236.0,31.35,6.6000000000000005,24.75,0.09339622641509433
HOPEVALE UFSD AT HAMBURG,2022,,,,,,,,,,,,,,,,,,,,,,,,
FRONTIER CSD,2022,0.11,0.29,355.0,50.0,14.0,305.0,85.91549295774648,27.0,1.0,28.0,4476.0,92.0,1.0,1.0,5.0,1.0,90.0,18.0,15888.0,17429.0,39.05,14.499999999999998,24.549999999999997,0.08049180327868852
HOLLAND CSD,2022,0.2,0.4,76.0,19.0,25.0,57.0,75.0,28.0,7.0,35.0,727.0,93.0,0.0,0.0,2.0,0.0,95.0,17.0,21300.0,23288.0,15.200000000000001,7.6000000000000005,7.6000000000000005,0.13333333333333333
LACKAWANNA CITY SD,2022,0.1,0.36,173.0,30.0,17.0,143.0,82.65895953757226,80.0,3.0,83.0,1771.0,87.0,15.0,14.0,14.0,3.0,63.0,16.0,12576.0,21394.0,17.3,10.799999999999999,6.500000000000002,0.04545454545454547
LANCASTER CSD,2022,0.05,0.08,429.0,27.0,6.0,402.0,93.7062937062937,20.0,3.0,23.0,5341.0,94.0,1.0,1.0,3.0,2.0,91.0,18.0,15560.0,16489.0,21.450000000000003,2.16,19.290000000000003,0.04798507462686568
AKRON CSD,2022,0.17,0.44,112.0,13.0,12.0,99.0,88.39285714285714,38.0,3.0,41.0,1257.0,91.0,0.0,1.0,1.0,0.0,82.0,14.0,17835.0,19751.0,19.040000000000003,5.72,13.320000000000004,0.13454545454545458
NORTH COLLINS CSD,2022,0.22,0.64,57.0,6.0,11.0,51.0,89.47368421052632,38.0,1.0,39.0,520.0,92.0,1.0,0.0,5.0,1.0,90.0,17.0,22131.0,25031.0,12.540000000000001,3.84,8.700000000000001,0.17058823529411768
ORCHARD PARK CSD,2022,0.12,0.27,398.0,60.0,15.0,338.0,84.92462311557789,11.0,0.0,11.0,4597.0,93.0,1.0,1.0,3.0,2.0,92.0,16.0,19057.0,19803.0,47.76,16.200000000000003,31.559999999999995,0.09337278106508874
TONAWANDA CITY SD,2022,0.12,0.29,152.0,25.0,16.0,127.0,83.55263157894737,44.0,3.0,47.0,1650.0,90.0,2.0,2.0,7.0,2.0,83.0,16.0,16136.0,17468.0,18.24,7.249999999999999,10.989999999999998,0.08653543307086613
KENMORE-TONAWANDA UFSD,2022,0.09,0.31,656.0,69.0,11.0,587.0,89.48170731707317,43.0,1.0,44.0,6161.0,90.0,3.0,8.0,9.0,4.0,72.0,18.0,21125.0,24722.0,59.04,21.39,37.65,0.0641396933560477
WEST SENECA CSD,2022,0.09,0.38,504.0,55.0,11.0,449.0,89.0873015873016,34.0,4.0,38.0,5954.0,92.0,1.0,4.0,6.0,2.0,84.0,19.0,17485.0,18842.0,45.36,20.9,24.46,0.05447661469933185
CROWN POINT CSD,2022,0.3,0.33,18.0,1.0,6.0,17.0,94.44444444444444,36.0,15.0,51.0,299.0,89.0,0.0,0.0,0.0,1.0,99.0,19.0,19470.0,21140.0,5.3999999999999995,0.33,5.069999999999999,0.29823529411764704
KEENE CSD,2022,0.14,0.0,21.0,2.0,10.0,19.0,90.47619047619048,22.0,8.0,30.0,163.0,92.0,0.0,1.0,6.0,1.0,89.0,17.0,34700.0,35178.0,2.9400000000000004,0.0,2.9400000000000004,0.15473684210526317
MINERVA CSD,2022,0.18,0.25,22.0,2.0,9.0,20.0,90.9090909090909,60.0,5.0,65.0,111.0,92.0,0.0,0.0,4.0,0.0,95.0,22.0,34910.0,38362.0,3.96,0.5,3.46,0.173
MORIAH CSD,2022,0.1,0.25,72.0,8.0,11.0,64.0,88.88888888888889,45.0,1.0,46.0,649.0,91.0,0.0,1.0,0.0,0.0,99.0,28.0,20803.0,23623.0,7.2,2.0,5.2,0.08125
NEWCOMB CSD,2022,0.06,0.0,20.0,2.0,10.0,18.0,90.0,13.0,7.0,20.0,67.0,96.0,0.0,1.0,6.0,1.0,87.0,10.0,65652.0,67693.0,1.2,0.0,1.2,0.06666666666666667
LAKE PLACID CSD,2022,0.12,0.3,80.0,13.0,16.0,67.0,83.75,31.0,3.0,34.0,554.0,91.0,1.0,1.0,2.0,1.0,92.0,18.0,28656.0,30901.0,9.6,3.9,5.699999999999999,0.08507462686567163
SCHROON LAKE CSD,2022,0.03,0.0,36.0,7.0,19.0,29.0,80.55555555555556,55.0,6.0,61.0,223.0,89.0,0.0,0.0,2.0,0.0,98.0,15.0,27791.0,30740.0,1.08,0.0,1.08,0.03724137931034483
TICONDEROGA CSD,2022,0.12,0.0,62.0,4.0,6.0,58.0,93.54838709677419,51.0,8.0,59.0,688.0,93.0,0.0,1.0,0.0,1.0,98.0,21.0,19989.0,24162.0,7.4399999999999995,0.0,7.4399999999999995,0.12827586206896552
WILLSBORO CSD,2022,0.26,0.5,23.0,4.0,17.0,19.0,82.6086956521739,47.0,5.0,52.0,228.0,94.0,0.0,0.0,4.0,0.0,91.0,22.0,26522.0,28511.0,5.98,2.0,3.9800000000000004,0.20947368421052634
BOQUET VALLEY CSD,2022,0.23,0.3,48.0,16.0,33.0,32.0,66.66666666666666,43.0,11.0,54.0,402.0,90.0,1.0,0.0,1.0,0.0,98.0,18.0,30976.0,32312.0,11.040000000000001,4.8,6.240000000000001,0.19500000000000003
TUPPER LAKE CSD,2022,0.14,0.0,70.0,12.0,17.0,58.0,82.85714285714286,44.0,3.0,47.0,710.0,93.0,0.0,0.0,2.0,0.0,95.0,19.0,22539.0,24003.0,9.8,0.0,9.8,0.16896551724137931
CHATEAUGAY CSD,2022,0.16,0.22,55.0,12.0,22.0,43.0,78.18181818181819,46.0,2.0,48.0,487.0,92.0,0.0,1.0,1.0,0.0,98.0,19.0,18910.0,22310.0,8.8,2.64,6.16,0.14325581395348838
SALMON RIVER CSD,2022,0.13,0.17,151.0,34.0,23.0,117.0,77.48344370860927,61.0,3.0,64.0,1318.0,89.0,0.0,0.0,2.0,0.0,31.0,16.0,25759.0,28199.0,19.63,5.78,13.849999999999998,0.11837606837606836
SARANAC LAKE CSD,2022,0.17,0.33,110.0,17.0,15.0,93.0,84.54545454545455,40.0,1.0,41.0,1096.0,95.0,0.0,1.0,0.0,0.0,97.0,16.0,23330.0,25823.0,18.700000000000003,5.61,13.090000000000003,0.14075268817204306
MALONE CSD,2022,0.09,0.16,206.0,31.0,15.0,175.0,84.9514563106796,43.0,2.0,45.0,2058.0,91.0,0.0,0.0,1.0,0.0,96.0,20.0,21234.0,24299.0,18.54,4.96,13.579999999999998,0.07759999999999999
BRUSHTON-MOIRA CSD,2022,0.07,0.33,81.0,7.0,9.0,74.0,91.35802469135803,54.0,2.0,56.0,740.0,94.0,0.0,1.0,0.0,1.0,97.0,18.0,18668.0,20959.0,5.670000000000001,2.31,3.3600000000000008,0.045405405405405413
ST REGIS FALLS CSD,2022,0.27,0.33,34.0,16.0,47.0,18.0,52.94117647058824,53.0,3.0,56.0,238.0,92.0,0.0,0.0,1.0,0.0,94.0,21.0,24101.0,28010.0,9.18,5.28,3.8999999999999995,0.21666666666666665
WHEELERVILLE UFSD,2022,0.15,0.0,12.0,2.0,17.0,10.0,83.33333333333334,44.0,8.0,52.0,104.0,94.0,0.0,0.0,1.0,2.0,96.0,9.0,26268.0,28547.0,1.7999999999999998,0.0,1.7999999999999998,0.18
GLOVERSVILLE CITY SD,2022,0.1,0.19,233.0,38.0,16.0,195.0,83.69098712446352,71.0,0.0,71.0,2349.0,86.0,1.0,4.0,11.0,1.0,78.0,17.0,18546.0,20496.0,23.3,7.22,16.080000000000002,0.08246153846153847
JOHNSTOWN CITY SD,2022,0.16,0.14,117.0,18.0,15.0,99.0,84.61538461538461,46.0,3.0,49.0,1415.0,91.0,1.0,1.0,5.0,1.0,90.0,13.0,17934.0,20286.0,18.72,2.5200000000000005,16.2,0.16363636363636364
MAYFIELD CSD,2022,0.14,0.44,79.0,14.0,18.0,65.0,82.27848101265823,41.0,4.0,45.0,835.0,93.0,0.0,1.0,4.0,1.0,93.0,12.0,17771.0,20228.0,11.06,6.16,4.9,0.07538461538461538
NORTHVILLE CSD,2022,0.11,0.33,49.0,5.0,10.0,44.0,89.79591836734694,40.0,2.0,42.0,411.0,93.0,0.0,1.0,3.0,1.0,92.0,13.0,22390.0,24017.0,5.39,1.6500000000000001,3.7399999999999993,0.08499999999999998
BROADALBIN-PERTH CSD,2022,0.05,0.05,150.0,23.0,15.0,127.0,84.66666666666667,33.0,1.0,34.0,1631.0,91.0,0.0,1.0,3.0,1.0,95.0,10.0,,,7.5,1.1500000000000001,6.35,0.049999999999999996
ALEXANDER CSD,2022,0.1,0.3,79.0,14.0,18.0,65.0,82.27848101265823,30.0,4.0,34.0,745.0,94.0,1.0,1.0,4.0,1.0,93.0,12.0,18181.0,20584.0,7.9,4.2,3.7,0.05692307692307692
BATAVIA CITY SD,2022,0.14,0.26,222.0,32.0,14.0,190.0,85.58558558558559,48.0,0.0,48.0,2032.0,90.0,2.0,11.0,10.0,1.0,71.0,14.0,19503.0,22294.0,31.080000000000002,8.32,22.76,0.11978947368421053
BYRON-BERGEN CSD,2022,0.12,0.27,89.0,11.0,12.0,78.0,87.64044943820225,34.0,8.0,42.0,799.0,94.0,1.0,1.0,8.0,1.0,88.0,8.0,17793.0,20762.0,10.68,2.97,7.709999999999999,0.09884615384615383
ELBA CSD,2022,0.12,0.33,56.0,11.0,20.0,45.0,80.35714285714286,38.0,5.0,43.0,391.0,95.0,6.0,1.0,17.0,0.0,80.0,11.0,20767.0,22331.0,6.72,3.6300000000000003,3.0899999999999994,0.06866666666666665
LE ROY CSD,2022,0.04,0.0,111.0,13.0,12.0,98.0,88.28828828828829,35.0,3.0,38.0,1112.0,92.0,1.0,2.0,3.0,0.0,91.0,12.0,16119.0,18168.0,4.44,0.0,4.44,0.045306122448979594
OAKFIELD-ALABAMA CSD,2022,0.08,0.13,81.0,10.0,12.0,71.0,87.65432098765432,43.0,9.0,52.0,730.0,92.0,2.0,1.0,4.0,1.0,93.0,12.0,20427.0,22651.0,6.48,1.3,5.180000000000001,0.07295774647887325
PAVILION CSD,2022,0.17,0.32,82.0,21.0,26.0,61.0,74.39024390243902,34.0,8.0,42.0,615.0,94.0,1.0,1.0,4.0,0.0,95.0,13.0,22188.0,23718.0,13.940000000000001,6.72,7.2200000000000015,0.11836065573770495
PEMBROKE CSD,2022,0.09,0.23,97.0,6.0,6.0,91.0,93.81443298969072,35.0,3.0,38.0,842.0,94.0,0.0,1.0,2.0,0.0,94.0,16.0,20208.0,22747.0,8.73,1.3800000000000001,7.3500000000000005,0.08076923076923077
CAIRO-DURHAM CSD,2022,0.13,0.38,129.0,10.0,8.0,119.0,92.24806201550388,53.0,1.0,54.0,1045.0,90.0,1.0,1.0,8.0,1.0,83.0,21.0,24061.0,26471.0,16.77,3.8,12.969999999999999,0.10899159663865546
CATSKILL CSD,2022,0.11,0.25,129.0,21.0,16.0,108.0,83.72093023255815,49.0,0.0,49.0,1270.0,91.0,3.0,7.0,14.0,1.0,66.0,16.0,25305.0,26858.0,14.19,5.25,8.94,0.08277777777777777
COXSACKIE-ATHENS CSD,2022,0.08,0.67,120.0,13.0,11.0,107.0,89.16666666666667,34.0,0.0,34.0,1129.0,90.0,1.0,2.0,8.0,1.0,84.0,13.0,23046.0,24943.0,9.6,8.71,0.8899999999999988,0.008317757009345783
GREENVILLE CSD,2022,0.14,0.17,98.0,6.0,6.0,92.0,93.87755102040816,31.0,2.0,33.0,1062.0,90.0,0.0,1.0,3.0,0.0,95.0,17.0,23838.0,25678.0,13.72,1.02,12.700000000000001,0.13804347826086957
HUNTER-TANNERSVILLE CSD,2022,0.17,0.33,47.0,14.0,30.0,33.0,70.2127659574468,51.0,1.0,52.0,320.0,92.0,3.0,1.0,14.0,2.0,80.0,19.0,31821.0,34849.0,7.99,4.62,3.37,0.10212121212121213
WINDHAM-ASHLAND-JEWETT CSD,2022,0.0,0.0,35.0,4.0,11.0,31.0,88.57142857142857,44.0,0.0,44.0,280.0,84.0,3.0,0.0,7.0,3.0,84.0,20.0,32608.0,34246.0,0.0,0.0,0.0,0.0
PISECO COMN SD,2022,,,,,,,,,,,,,,,,,,,,,,,,
INDIAN LAKE CSD,2022,0.19,1.0,23.0,1.0,4.0,22.0,95.65217391304348,35.0,0.0,35.0,109.0,93.0,0.0,1.0,1.0,0.0,97.0,17.0,44069.0,45090.0,4.37,1.0,3.37,0.1531818181818182
INLET COMN SD,2022,,,,,,,,,,,,,,,,,,,,,,,,
LAKE PLEASANT CSD,2022,0.12,0.33,17.0,3.0,18.0,14.0,82.35294117647058,21.0,8.0,29.0,66.0,93.0,0.0,0.0,0.0,0.0,98.0,12.0,47322.0,49441.0,2.04,0.99,1.05,0.075
