YEAR,DISTRICT,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_BLACK,PER_HISP,PER_ASIAN,PER_FRPL,PER_MINORITY
2014,VALLEY STREAM 30 UNION FREE SCHOOL DISTRICT,24.0,8.0,40.0,30.0,23.0,32.0,93.0
2014,ISLAND PARK UNION FREE SCHOOL DISTRICT,34.0,9.0,2.0,29.0,3.0,43.0,34.0
2014,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,16.0,5.0,32.0,25.0,18.0,21.0,75.0
2014,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,13.0,4.0,27.0,16.0,18.0,17.0,61.0
2014,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,4.0,2.0,2.0,5.0,5.0,6.0,12.0
2014,LONG BEACH CITY SCHOOL DISTRICT,18.0,4.0,11.0,23.0,4.0,22.0,38.0
2014,WESTBURY UNION FREE SCHOOL DISTRICT,77.0,7.0,29.0,67.0,1.0,84.0,97.0
2014,EAST WILLISTON UNION FREE SCHOOL DISTRICT,2.0,0.0,1.0,5.0,17.0,2.0,23.0
2014,ROSLYN UNION FREE SCHOOL DISTRICT,6.0,4.0,3.0,6.0,15.0,10.0,24.0
2014,PORT WASHINGTON UNION FREE SCHOOL DISTRICT,10.0,4.0,2.0,17.0,12.0,14.0,31.0
2014,NEW HYDE PARK-GARDEN CITY PARK UNION FREE SCHOOL DISTRICT,11.0,4.0,1.0,16.0,42.0,15.0,59.0
2014,MANHASSET UNION FREE SCHOOL DISTRICT,4.0,1.0,3.0,5.0,16.0,5.0,24.0
2014,GREAT NECK UNION FREE SCHOOL DISTRICT,8.0,6.0,1.0,8.0,33.0,14.0,42.0
2014,HERRICKS UNION FREE SCHOOL DISTRICT,3.0,2.0,1.0,6.0,56.0,5.0,63.0
2014,MINEOLA UNION FREE SCHOOL DISTRICT,15.0,5.0,3.0,22.0,12.0,20.0,37.0
2014,CARLE PLACE UNION FREE SCHOOL DISTRICT,9.0,4.0,2.0,14.0,7.0,13.0,23.0
2014,NORTH SHORE CENTRAL SCHOOL DISTRICT,4.0,3.0,1.0,7.0,5.0,7.0,13.0
2014,SYOSSET CENTRAL SCHOOL DISTRICT,1.0,0.0,1.0,3.0,28.0,1.0,32.0
2014,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,9.0,4.0,1.0,15.0,4.0,13.0,20.0
