YEAR,DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_BLACK,PER_HISP,PER_ASIAN,PER_FRPL,PER_MINORITY
2014,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,12.0,0.0,12.146341463414629,34.0,12.0,1.0,3.0,0.0,46.0,4.0
2014,OLEAN CITY SCHOOL DISTRICT,9.0,25.0,8.6235294117647,43.0,9.0,7.0,3.0,2.0,52.0,12.0
2014,GOWANDA CENTRAL SCHOOL DISTRICT,4.0,0.0,4.0983606557377,42.0,11.0,1.0,2.0,0.0,53.0,3.0
2014,PORTVILLE CENTRAL SCHOOL DISTRICT,10.0,0.0,10.44117647058823,25.0,11.0,1.0,1.0,0.0,36.0,2.0
2014,RANDOLPH CENTRAL SCHOOL DISTRICT,7.000000000000001,0.0,7.8076923076923,34.0,14.0,0.0,2.0,1.0,48.0,3.0
2014,RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT,22.0,33.0,20.37037037037037,35.0,1.0,33.0,13.0,1.0,36.0,47.0
2014,SALAMANCA CITY SCHOOL DISTRICT,17.0,25.0,16.63963963963964,54.0,9.0,2.0,4.0,1.0,63.0,7.0
2014,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,12.0,7.000000000000001,12.35532994923857,35.0,15.0,1.0,2.0,1.0,50.0,4.0
2014,AUBURN CITY SCHOOL DISTRICT,10.0,0.0,10.40372670807453,41.0,6.0,8.0,4.0,1.0,47.0,13.0
2014,WEEDSPORT CENTRAL SCHOOL DISTRICT,10.0,0.0,10.41666666666666,18.0,5.0,1.0,2.0,2.0,23.0,5.0
2014,CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,6.0,0.0,6.21686746987951,27.0,10.0,1.0,1.0,0.0,37.0,2.0
2014,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,20.0,0.0,21.93548387096774,28.0,7.0,1.0,7.0,1.0,35.0,9.0
2014,PORT BYRON CENTRAL SCHOOL DISTRICT,7.000000000000001,33.0,5.42424242424242,33.0,7.0,1.0,2.0,0.0,40.0,3.0
2014,MORAVIA CENTRAL SCHOOL DISTRICT,15.0,27.0,14.01369863013698,33.0,11.0,0.0,1.0,0.0,44.0,1.0
2014,UNION SPRINGS CENTRAL SCHOOL DISTRICT,3.0,11.0,2.65217391304347,23.0,7.0,2.0,3.0,1.0,30.0,6.0
2014,SOUTHWESTERN CENTRAL SCHOOL DISTRICT AT JAMESTOWN,14.000000000000002,0.0,14.120689655172411,22.0,5.0,1.0,2.0,2.0,27.0,5.0
2014,FREWSBURG CENTRAL SCHOOL DISTRICT,7.000000000000001,0.0,7.430769230769229,25.0,9.0,1.0,1.0,1.0,34.0,3.0
2014,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,20.0,25.0,20.0,43.0,11.0,1.0,2.0,0.0,54.0,3.0
2014,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,6.0,0.0,6.2962962962962905,12.0,4.0,1.0,1.0,1.0,16.0,3.0
2014,PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON),4.0,0.0,4.05633802816901,37.0,10.0,0.0,3.0,0.0,47.0,3.0
